,disponent_inhabitants_ratio,owner_card_type_gold,no. of transactions,balance_min,balance_min_debit,balance_min_credit,amount_min_1995_debit,amount_min_1996_debit,loan_payments,loan_status,loan_id
46,0.0,0.0,14.0,800.0,23798.4,800.0,2200.0,0.0,5700.0,-1,5352
47,0.0,0.0,42.0,300.0,22011.8,300.0,0.0,14.6,7182.0,1,5366
48,0.0,0.0,38.0,400.0,9983.0,400.0,0.0,14.6,8460.0,1,5375
49,1.0,0.0,31.0,700.0,29777.2,700.0,0.0,14.6,1985.0,1,5385
50,0.0,0.0,71.0,200.0,6214.1,200.0,0.0,30.0,5130.0,1,5388
51,0.0,0.0,77.0,200.0,19754.7,200.0,0.0,0.0,7094.0,1,5390
52,0.0,0.0,126.0,500.0,5250.5,500.0,0.0,0.0,8308.0,-1,5395
53,0.527,0.0,59.0,600.0,37464.0,600.0,14.6,0.0,3034.0,1,5409
54,0.5920000000000001,0.0,109.0,300.0,3217.1,300.0,30.0,0.0,3874.0,1,5413
55,0.0,0.0,34.0,700.0,27005.0,700.0,3800.0,0.0,3874.0,1,5414
56,0.0,0.0,31.0,300.0,22416.3,300.0,400.0,2600.0,3874.0,-1,5415
57,0.0,0.0,120.0,300.0,18868.3,300.0,5800.0,0.0,7249.0,1,5418
58,0.0,0.0,96.0,200.0,22646.0,200.0,14.6,14.6,561.0,1,5429
59,0.0,0.0,178.0,900.0,9770.7,900.0,14.6,14.6,1930.0,1,5445
60,0.0,0.0,52.0,300.0,17420.8,300.0,14.6,0.0,4139.0,1,5449
61,0.0,0.0,74.0,500.0,14412.6,500.0,0.0,0.0,3328.0,1,5450
62,0.0,0.0,110.0,300.0,30503.6,300.0,4.0,4.0,824.0,1,5452
63,0.0,0.0,75.0,500.0,11418.8,500.0,14.6,0.0,4352.0,1,5453
64,0.0,0.0,90.0,900.0,16739.0,900.0,7500.0,0.0,7984.0,1,5464
65,0.0,0.0,35.0,600.0,20757.0,600.0,11900.0,14.6,4187.0,1,5470
66,0.0,0.0,73.0,200.0,424.2,200.0,0.0,0.0,2043.0,1,5479
67,0.705,0.0,116.0,1100.0,9744.7,1100.0,14.6,1080.0,2752.0,1,5482
68,0.0,0.0,136.0,600.0,730.1,600.0,100.0,0.3,7500.0,1,5494
69,0.519,0.0,44.0,500.0,30799.7,500.0,0.0,14.6,1489.0,1,5495
70,0.619,0.0,70.0,700.0,26515.8,700.0,0.0,0.0,7636.0,1,5519
71,0.0,0.0,19.0,600.0,33576.1,600.0,0.0,0.0,2608.0,1,5523
72,0.0,0.0,152.0,500.0,20377.5,500.0,0.0,0.0,4641.0,1,5533
73,0.0,0.0,43.0,800.0,28898.6,800.0,0.0,0.0,841.0,1,5549
74,0.0,0.0,109.0,1100.0,22049.6,1100.0,14.6,14.6,6336.0,1,5563
75,0.467,0.0,84.0,1100.0,11051.0,1100.0,0.0,0.0,4542.0,1,5568
76,0.0,0.0,120.0,1000.0,20144.5,1000.0,0.0,0.0,2604.0,1,5576
77,0.0,0.0,14.0,900.0,40497.4,900.0,0.0,13000.0,1354.0,1,5586
78,0.0,0.0,30.0,300.0,24447.1,300.0,0.0,14.6,3242.0,1,5591
79,0.0,0.0,117.0,1000.0,3592.3,1000.0,14.6,14.6,7719.0,-1,5593
80,0.608,0.0,126.0,900.0,11724.2,900.0,0.0,0.0,6908.0,1,5595
81,0.0,0.0,151.0,1000.0,4823.3,1000.0,14.6,0.0,1285.0,1,5599
82,0.0,0.0,29.0,300.0,4418.4,300.0,0.0,30.0,7042.0,-1,5606
83,0.598,0.0,128.0,700.0,25204.8,700.0,14.6,14.6,2567.0,1,5610
84,0.748,0.0,38.0,700.0,19592.2,700.0,0.0,14.6,5353.0,1,5611
85,0.0,0.0,95.0,-2485.5,-2485.5,-2402.8,0.0,0.0,3703.0,-1,5624
86,0.0,0.0,59.0,800.0,14705.7,800.0,7100.0,14.6,3703.0,-1,5625
87,0.0,0.0,77.0,200.0,6477.3,200.0,600.0,14.6,2144.0,1,5635
88,0.0,0.0,46.0,800.0,21602.2,800.0,0.0,0.0,415.0,1,5657
89,0.0,0.0,32.0,1000.0,26231.3,1000.0,14.6,0.0,1837.0,1,5693
90,0.0,0.0,130.0,500.0,8141.6,500.0,30.0,30.0,4486.0,1,5706
91,0.0,0.0,166.0,900.0,8042.2,900.0,14.6,0.0,2646.0,1,5713
92,0.0,0.0,110.0,1000.0,5756.0,1000.0,0.0,0.0,1969.0,1,5723
93,0.0,0.0,139.0,800.0,1346.1,800.0,14.6,0.0,5269.0,-1,5724
94,0.747,0.0,64.0,800.0,12069.8,800.0,4700.0,14.6,9268.0,1,5725
95,0.0,0.0,45.0,1100.0,15755.4,1100.0,0.0,0.0,6365.0,1,5739
96,0.0,0.0,13.0,200.0,25503.5,200.0,8100.0,0.0,1547.0,1,5740
97,0.623,0.0,54.0,900.0,20224.5,900.0,0.0,30.0,2856.0,1,5741
98,0.0,0.0,164.0,13097.7,13097.7,18099.8,14.6,14.6,5271.0,1,5750
99,1.0,0.0,171.0,700.0,6790.6,700.0,0.0,0.0,1921.0,1,5754
100,0.0,0.0,156.0,600.0,12819.7,600.0,14.6,0.0,3312.0,1,5804
101,0.0,0.0,12.0,600.0,28285.4,600.0,3500.0,0.0,5746.0,-1,5805
102,0.0,0.0,16.0,900.0,35522.5,900.0,0.0,0.0,3318.0,1,5836
103,0.0,0.0,42.0,1000.0,19433.3,1000.0,0.0,0.0,4076.0,1,5837
104,0.0,0.0,64.0,900.0,19986.6,900.0,0.0,0.0,2142.0,1,5861
105,1.0,0.0,71.0,1100.0,8620.3,1100.0,30.0,0.0,4610.0,1,5876
106,0.614,0.0,112.0,1000.0,10361.7,1000.0,14.6,0.0,4051.0,1,5877
107,0.0,0.0,19.0,900.0,45132.1,900.0,20100.0,0.0,2051.0,1,5880
108,1.0,0.0,84.0,800.0,15597.8,800.0,0.0,0.0,7318.0,1,5882
109,0.40700000000000003,0.0,26.0,200.0,27799.1,200.0,0.0,14.6,5354.0,1,5886
110,0.519,0.0,76.0,700.0,19632.4,700.0,0.0,0.0,5354.0,1,5887
111,0.0,0.0,10.0,900.0,27900.0,900.0,0.0,7600.0,2770.0,-1,5892
112,0.0,0.0,169.0,500.0,14268.9,500.0,14.6,14.6,633.0,1,5897
113,0.0,0.0,77.0,200.0,20352.7,200.0,14.6,0.0,2820.0,1,5900
114,0.0,0.0,71.0,300.0,13241.5,300.0,0.0,0.0,8339.0,1,5918
115,0.0,0.0,51.0,500.0,11356.0,500.0,14.6,0.0,1685.0,1,5922
116,0.43799999999999994,0.0,12.0,200.0,21989.3,200.0,0.0,4600.0,1347.0,1,5923
117,0.0,0.0,54.0,200.0,9587.1,200.0,0.0,14.6,6700.0,1,5938
118,0.0,0.0,23.0,600.0,29443.4,600.0,14.6,0.0,4485.0,1,5959
119,0.483,0.0,103.0,300.0,2063.4,300.0,14.6,0.0,9689.0,1,5970
120,0.519,0.0,78.0,1000.0,16925.3,1000.0,14.6,0.0,1783.0,1,5980
121,0.619,0.0,18.0,200.0,20435.4,200.0,0.0,1800.0,5902.0,1,5988
122,0.0,0.0,59.0,400.0,12344.2,400.0,14.6,14.6,5925.0,1,5989
123,0.0,0.0,13.0,800.0,27955.0,800.0,0.0,0.0,4876.0,1,5997
124,0.0,0.0,177.0,500.0,7782.5,500.0,14.6,0.0,2059.0,1,5999
125,0.0,0.0,139.0,700.0,10470.9,700.0,0.0,0.0,5996.0,1,6004
126,0.0,0.0,48.0,900.0,7710.2,900.0,0.0,14.6,5996.0,1,6006
127,0.0,0.0,52.0,200.0,29444.7,200.0,0.0,14.6,3736.0,1,6011
128,0.0,0.0,16.0,600.0,31304.2,600.0,0.0,5200.0,7179.0,1,6012
129,0.0,0.0,82.0,-36.1,-36.1,700.0,0.1,30.0,3583.0,-1,6013
130,0.0,0.0,82.0,700.0,32875.0,700.0,0.0,14.6,4588.0,1,6015
131,0.0,0.0,77.0,300.0,23011.5,300.0,14.6,14.6,950.0,1,6019
132,0.0,0.0,12.0,400.0,44254.4,400.0,21000.0,13800.0,2569.0,-1,6027
133,0.0,0.0,57.0,200.0,7618.0,200.0,0.0,0.0,6739.0,1,6038
134,0.636,0.0,48.0,400.0,21281.5,400.0,14.6,1680.0,424.0,1,6043
135,0.0,0.0,50.0,1000.0,5245.2,1000.0,12400.0,14.6,6687.0,-1,6063
136,0.0,0.0,102.0,200.0,14203.6,200.0,0.0,0.0,1219.0,1,6064
137,0.535,0.0,75.0,1000.0,24365.5,1000.0,0.0,0.0,7242.0,1,6066
138,0.0,0.0,29.0,800.0,39210.7,800.0,0.0,0.0,5388.0,1,6072
139,0.0,0.0,92.0,500.0,13504.3,500.0,14.6,14.6,4605.0,1,6073
140,0.0,0.0,53.0,800.0,31251.7,800.0,0.0,0.0,3317.0,1,6077
141,0.0,0.0,66.0,800.0,7691.0,800.0,0.0,0.0,5011.0,1,6087
142,0.0,0.0,56.0,500.0,10014.4,500.0,0.0,0.0,2489.0,1,6103
143,0.483,0.0,182.0,1100.0,8455.7,1100.0,14.6,14.6,6148.0,1,6109
144,0.0,0.0,32.0,1000.0,9239.8,1000.0,0.0,0.0,7281.0,-1,6111
145,0.0,0.0,118.0,-1369.2,-1369.2,300.0,0.0,0.0,7281.0,-1,6112
146,0.0,0.0,68.0,1000.0,18297.8,1000.0,0.0,0.0,4358.0,1,6120
147,0.0,0.0,107.0,300.0,10057.0,300.0,14.6,14.6,680.0,1,6130
148,0.0,0.0,146.0,900.0,17843.7,900.0,30.0,30.0,3719.0,1,6137
149,0.0,0.0,39.0,800.0,18021.2,800.0,0.0,14.6,3698.0,1,6144
150,0.0,0.0,196.0,700.0,23336.8,700.0,0.0,0.0,6918.0,1,6150
151,0.0,0.0,51.0,200.0,18666.1,200.0,14.6,0.0,3757.0,1,6151
152,0.514,0.0,49.0,1100.0,16510.5,1100.0,30.0,0.0,4760.0,1,6153
153,0.0,0.0,26.0,900.0,25018.7,900.0,100.0,0.0,4108.0,1,6157
154,0.0,0.0,109.0,500.0,5000.3,500.0,14.6,0.0,1728.0,-1,6169
155,0.0,0.0,100.0,-2825.2,-2825.2,-2800.7,14.6,9.9,4845.0,-1,6175
156,0.0,0.0,27.0,600.0,29354.8,600.0,100.0,0.0,4845.0,1,6178
157,0.0,0.0,23.0,700.0,27489.1,700.0,14.6,0.0,1299.0,1,6185
158,0.899,0.0,49.0,300.0,13020.0,300.0,14.6,14.6,2060.0,1,6190
159,0.0,0.0,82.0,900.0,21632.9,900.0,0.0,0.0,5432.0,1,6202
160,0.0,0.0,33.0,200.0,20452.2,200.0,0.0,0.0,1817.0,-1,6210
161,0.0,0.0,102.0,1000.0,27037.6,1000.0,0.0,0.0,5885.0,1,6216
162,0.0,0.0,64.0,900.0,21258.1,900.0,0.0,0.0,1272.0,1,6223
163,0.0,0.0,94.0,400.0,33563.4,400.0,14.6,0.0,1177.0,1,6227
164,0.0,0.0,68.0,200.0,12514.7,200.0,0.0,0.0,7742.0,-1,6228
165,0.0,0.0,133.0,1100.0,26984.4,1100.0,0.0,0.0,489.0,1,6229
166,0.0,0.0,58.0,500.0,6855.5,500.0,0.0,0.0,7685.0,-1,6232
167,0.0,0.0,72.0,200.0,19055.6,200.0,25800.0,0.0,7518.0,-1,6244
168,1.0,0.0,54.0,300.0,14421.1,300.0,0.0,0.0,2490.0,1,6253
169,0.0,0.0,86.0,400.0,29272.1,400.0,0.0,0.0,6644.0,1,6272
170,0.0,0.0,30.0,200.0,24631.3,200.0,0.0,0.0,3640.0,1,6279
171,0.0,0.0,85.0,800.0,30003.9,800.0,14.6,14.6,1784.0,1,6283
172,0.0,0.0,95.0,700.0,20329.0,700.0,14.6,0.0,1332.0,1,6294
173,0.0,0.0,87.0,700.0,17837.8,700.0,14.6,14.6,5633.0,1,6296
174,0.0,0.0,72.0,900.0,26662.8,900.0,0.0,0.0,1459.0,1,6297
175,0.59,0.0,93.0,500.0,20424.3,500.0,14.6,14.6,3017.0,1,6302
176,0.0,0.0,13.0,700.0,25252.5,700.0,17400.0,8700.0,3017.0,-1,6303
177,0.0,0.0,125.0,700.0,16659.5,700.0,0.0,0.0,3057.0,1,6306
178,0.0,0.0,63.0,400.0,15030.9,400.0,2200.0,14.6,4589.0,1,6309
179,0.0,0.0,69.0,800.0,30235.0,800.0,14.6,0.0,3597.0,1,6315
180,0.0,0.0,102.0,1100.0,7888.6,1100.0,0.0,0.0,6409.0,-1,6316
181,0.0,0.0,71.0,300.0,21189.4,300.0,0.0,0.0,5900.0,1,6336
182,0.0,0.0,56.0,400.0,31534.3,400.0,14.6,0.0,1671.0,-1,6342
183,0.0,0.0,11.0,1000.0,30562.8,1000.0,0.0,3600.0,638.0,1,6354
184,0.0,0.0,47.0,200.0,4092.6,200.0,0.0,0.0,2650.0,1,6356
185,0.0,0.0,89.0,200.0,322.3,200.0,5100.0,0.0,2298.0,-1,6358
186,0.0,0.0,76.0,800.0,18341.9,800.0,14.6,0.0,3159.0,1,6362
187,0.0,0.0,113.0,300.0,15529.1,300.0,14.6,0.0,4060.0,1,6403
188,0.0,0.0,37.0,600.0,39321.0,600.0,0.0,0.0,1081.0,1,6407
189,0.598,0.0,66.0,900.0,13202.4,900.0,14.6,14.6,2688.0,1,6421
190,0.0,0.0,42.0,200.0,23832.8,200.0,0.0,0.0,3918.0,1,6456
191,0.33899999999999997,0.0,97.0,300.0,12083.8,300.0,0.0,0.0,1352.0,1,6460
192,0.0,0.0,122.0,400.0,23285.7,400.0,30.0,30.0,2059.0,1,6461
193,0.0,0.0,105.0,500.0,19565.3,500.0,14.6,14.6,6485.0,1,6471
194,0.608,0.0,119.0,700.0,18781.0,700.0,14.6,0.0,1056.0,1,6474
195,1.0,0.0,54.0,1100.0,11098.5,1100.0,0.0,0.0,3373.0,1,6499
196,0.0,0.0,92.0,1000.0,8322.5,1000.0,14.6,14.6,2523.0,-1,6501
197,0.0,0.0,98.0,200.0,2235.7,200.0,0.0,0.0,2307.0,1,6509
198,0.0,0.0,82.0,500.0,12051.5,500.0,0.0,0.0,1319.0,1,6512
199,0.899,0.0,36.0,700.0,8884.6,700.0,0.0,0.0,3800.0,1,6520
200,0.0,0.0,17.0,600.0,33082.1,600.0,0.0,0.0,8013.0,1,6526
201,0.0,0.0,105.0,500.0,19349.8,500.0,14.6,0.0,3496.0,1,6535
202,0.0,0.0,56.0,400.0,23278.8,400.0,30.0,0.0,6450.0,1,6540
203,0.0,0.0,87.0,400.0,13848.8,400.0,14.6,0.0,3198.0,1,6545
204,1.0,0.0,117.0,600.0,14413.3,600.0,14.6,0.0,1322.0,1,6546
205,0.40700000000000003,0.0,88.0,500.0,30972.0,500.0,14.6,14.6,6679.0,1,6550
206,0.0,0.0,102.0,600.0,20808.9,600.0,0.0,0.0,2154.0,1,6577
207,0.0,0.0,76.0,500.0,7300.9,500.0,30.0,0.0,2332.0,1,6578
208,0.0,0.0,47.0,900.0,17227.4,900.0,0.0,0.0,4085.0,1,6580
209,0.747,0.0,172.0,500.0,23257.6,500.0,14.6,14.6,6202.0,1,6585
210,0.527,0.0,89.0,700.0,20241.4,700.0,30.0,0.0,7904.0,1,6589
211,0.0,0.0,151.0,500.0,8184.6,500.0,14.6,0.0,434.0,1,6591
212,0.0,0.0,5.0,600.0,0.0,600.0,0.0,0.0,7904.0,-1,6594
213,0.0,0.0,31.0,1000.0,33392.4,1000.0,0.0,0.0,3816.0,1,6596
214,0.0,0.0,147.0,300.0,11179.9,300.0,137.0,0.0,5676.0,1,6598
215,0.619,0.0,102.0,1000.0,31361.0,1000.0,14.6,14.6,6010.0,1,6599
216,0.0,0.0,18.0,700.0,36455.3,700.0,14.6,0.0,607.0,1,6600
217,0.0,0.0,19.0,900.0,32044.9,900.0,0.0,30.0,3505.0,1,6613
218,0.33899999999999997,0.0,43.0,200.0,18825.0,200.0,0.0,0.0,5955.0,1,6624
219,0.0,0.0,60.0,700.0,23157.9,700.0,0.0,0.0,6470.0,1,6642
220,0.0,0.0,55.0,900.0,18309.5,900.0,0.0,14.6,3900.0,1,6644
221,0.0,0.0,45.0,400.0,26565.4,400.0,0.0,0.0,3900.0,1,6645
222,0.5920000000000001,0.0,85.0,200.0,19909.6,200.0,0.0,0.0,4340.0,1,6647
223,0.0,0.0,49.0,900.0,13173.0,900.0,0.0,0.0,4110.0,-1,6650
224,0.0,0.0,68.0,1000.0,9184.5,1000.0,14.6,14.6,935.0,1,6659
225,0.623,0.0,142.0,1000.0,20857.3,1000.0,14.6,14.6,6495.0,1,6667
226,0.0,0.0,67.0,700.0,20412.0,700.0,0.0,0.0,2076.0,1,6668
227,1.0,0.0,12.0,200.0,28347.4,200.0,3300.0,0.0,1241.0,1,6676
228,1.0,0.0,52.0,1100.0,21980.0,1100.0,0.0,0.0,6695.0,1,6678
229,0.5920000000000001,0.0,93.0,200.0,15574.1,200.0,0.0,0.0,6239.0,1,6686
230,0.413,0.0,17.0,500.0,42707.0,500.0,0.0,0.0,3660.0,1,6687
231,0.0,0.0,55.0,900.0,15467.0,900.0,14.6,0.0,5616.0,1,6694
232,0.535,0.0,87.0,800.0,16890.3,800.0,0.0,0.0,1484.0,1,6696
233,0.0,0.0,50.0,200.0,24694.4,200.0,30.0,30.0,5161.0,1,6698
234,0.59,0.0,81.0,600.0,32357.5,600.0,0.0,0.0,319.0,1,6699
235,0.556,0.0,74.0,200.0,25774.5,200.0,14.6,0.0,6951.0,1,6704
236,0.0,0.0,144.0,900.0,15736.1,900.0,14.6,0.0,4437.0,1,6712
237,0.0,0.0,128.0,1100.0,11681.7,1100.0,14.6,14.6,3677.0,1,6715
238,0.0,0.0,15.0,1100.0,26781.3,1100.0,0.0,0.0,878.0,1,6721
239,0.705,0.0,148.0,700.0,19583.8,700.0,14.6,0.0,7370.0,1,6725
240,0.0,0.0,96.0,1000.0,16467.9,1000.0,14.6,0.0,1431.0,1,6726
241,0.855,0.0,112.0,1100.0,11374.1,1100.0,0.0,0.0,6224.0,1,6729
242,0.0,0.0,69.0,600.0,37891.5,600.0,0.0,14.6,3626.0,1,6732
243,0.0,0.0,94.0,300.0,18865.3,300.0,30.0,30.0,4806.0,1,6734
244,0.0,0.0,10.0,800.0,31358.0,800.0,0.0,0.0,4806.0,1,6736
245,0.5720000000000001,0.0,143.0,1000.0,27161.4,1000.0,14.6,0.0,3195.0,1,6737
246,0.0,0.0,82.0,-2719.7,-2719.7,-2651.8,0.0,0.0,6395.0,-1,6738
247,0.0,0.0,167.0,400.0,10954.5,400.0,14.6,0.0,1971.0,1,6745
248,0.614,0.0,19.0,800.0,28481.8,800.0,0.0,7600.0,2381.0,1,6751
249,0.0,0.0,70.0,600.0,27518.7,600.0,14.6,0.0,708.0,1,6764
250,0.0,0.0,127.0,500.0,13791.0,500.0,30.0,0.0,2089.0,1,6785
251,0.0,0.0,39.0,800.0,29536.5,800.0,0.0,14.6,938.0,1,6805
252,0.747,0.0,83.0,1100.0,12668.3,1100.0,0.0,0.0,6330.0,1,6808
253,0.0,0.0,190.0,700.0,18205.2,700.0,30.0,30.0,3883.0,1,6810
254,0.0,0.0,18.0,700.0,27505.3,700.0,0.0,6600.0,2088.0,-1,6816
255,0.0,0.0,53.0,600.0,14802.3,600.0,0.0,14.6,1472.0,1,6817
256,0.626,0.0,172.0,200.0,18983.2,200.0,14.6,14.6,3242.0,1,6818
257,0.0,0.0,29.0,900.0,24134.8,900.0,0.0,0.0,3179.0,1,6820
258,0.0,0.0,102.0,800.0,12805.3,800.0,0.0,0.0,3155.0,1,6836
259,0.0,0.0,42.0,200.0,35676.9,200.0,0.0,0.0,3585.0,1,6841
260,0.0,0.0,24.0,800.0,20272.8,800.0,0.0,0.0,2118.0,1,6863
261,0.0,0.0,11.0,800.0,27917.0,800.0,0.0,9700.0,2454.0,-1,6865
262,0.0,0.0,15.0,800.0,26273.9,800.0,0.0,0.0,7218.0,1,6876
263,0.0,0.0,115.0,300.0,5435.8,300.0,0.0,0.0,3298.0,1,6888
264,0.0,0.0,143.0,900.0,7917.2,900.0,0.0,0.0,3492.0,1,6895
265,0.0,0.0,71.0,144.2,144.2,247.8,0.0,0.0,2172.0,1,6903
266,0.0,0.0,96.0,600.0,13447.2,600.0,0.0,0.0,3358.0,1,6919
267,0.0,0.0,42.0,300.0,24708.5,300.0,0.0,14.6,7182.0,1,6921
268,0.0,0.0,158.0,800.0,18262.3,800.0,30.0,0.0,3033.0,1,6929
269,0.0,0.0,22.0,400.0,23579.7,400.0,14.6,0.0,3931.0,1,6933
270,1.0,0.0,20.0,500.0,32654.9,500.0,0.0,14.6,6341.0,1,6940
271,0.0,0.0,17.0,1000.0,29482.5,1000.0,0.0,700.0,962.0,1,6944
272,0.5920000000000001,0.0,108.0,300.0,910.8,300.0,30.0,0.0,4363.0,1,6949
273,0.0,0.0,191.0,400.0,18403.7,400.0,14.6,0.0,4363.0,1,6950
274,0.0,0.0,144.0,200.0,40588.7,200.0,100.0,0.0,5091.0,1,6955
275,1.0,0.0,153.0,8686.4,8686.4,16986.4,1800.0,0.0,3184.0,1,6960
276,0.0,0.0,13.0,1100.0,30381.0,1100.0,0.0,5600.0,4893.0,1,6961
277,0.0,0.0,165.0,800.0,5818.0,800.0,14.6,0.0,5814.0,1,6965
278,1.0,0.0,72.0,500.0,21161.1,500.0,100.0,0.0,3161.0,1,6985
279,0.0,0.0,57.0,-669.7,-669.7,-519.8,1.9,0.0,3161.0,-1,6986
280,0.619,0.0,79.0,200.0,19231.8,200.0,14.6,14.6,2791.0,1,6992
281,0.0,0.0,149.0,600.0,3609.3,600.0,30.0,30.0,8014.0,1,6995
282,0.0,0.0,132.0,400.0,17875.8,400.0,14.6,0.0,5275.0,1,6996
283,0.0,0.0,65.0,1100.0,21477.7,1100.0,0.0,0.0,8136.0,1,6998
284,0.467,0.0,119.0,900.0,17397.5,900.0,14.6,0.0,5526.0,1,7004
285,0.0,0.0,36.0,300.0,25349.1,300.0,14.6,0.0,3014.0,1,7008
286,0.519,0.0,44.0,500.0,30799.7,500.0,0.0,14.6,1489.0,1,7013
287,0.0,0.0,69.0,600.0,33942.3,600.0,14.6,14.6,529.0,1,7034
288,0.0,0.0,91.0,600.0,14285.8,600.0,14.6,14.6,5415.0,1,7036
289,0.40700000000000003,0.0,79.0,1100.0,20795.2,1100.0,0.0,0.0,2785.0,1,7055
290,1.0,0.0,126.0,800.0,16047.7,800.0,30.0,0.0,6436.0,1,7057
291,0.0,0.0,93.0,600.0,22951.2,600.0,0.0,0.0,5079.0,1,7061
292,0.0,0.0,15.0,1000.0,28768.6,1000.0,0.0,0.0,5983.0,-1,7066
293,0.0,0.0,23.0,400.0,26688.1,400.0,0.0,0.0,3151.0,-1,7097
294,0.0,0.0,50.0,600.0,21042.4,600.0,0.0,14.6,8771.0,1,7101
295,0.0,0.0,17.0,800.0,25473.0,800.0,0.0,0.0,4329.0,1,7104
296,0.33899999999999997,0.0,45.0,1100.0,24950.4,1100.0,0.0,0.0,609.0,1,7121
297,0.0,1.0,65.0,700.0,4686.3,700.0,21900.0,100.0,5142.0,1,7130
298,0.0,0.0,23.0,800.0,24019.8,800.0,0.0,14.6,1511.0,1,7136
299,0.0,0.0,28.0,300.0,21323.2,300.0,0.0,0.0,6315.0,1,7137
300,0.0,0.0,137.0,400.0,16141.2,400.0,14.6,0.0,1000.0,1,7138
